Freq.	V(n005)
1.01321124241273e+001	(-1.82428077316701e+001dB,8.18782031467499e+001°)
1.01344456978479e+001	(-1.82408058386535e+001dB,8.18763577660094e+001°)
1.01367795088865e+001	(-1.82388039449422e+001dB,8.18745119424133e+001°)
1.01391138573668e+001	(-1.82368020505359e+001dB,8.18726656758551e+001°)
1.01414487434125e+001	(-1.82348001554346e+001dB,8.18708189662289e+001°)
1.01437841671476e+001	(-1.82327982596380e+001dB,8.18689718134283e+001°)
1.01461201286958e+001	(-1.82307963631460e+001dB,8.18671242173471e+001°)
1.01484566281809e+001	(-1.82287944659587e+001dB,8.18652761778791e+001°)
1.01507936657269e+001	(-1.82267925680756e+001dB,8.18634276949178e+001°)
1.01531312414576e+001	(-1.82247906694966e+001dB,8.18615787683570e+001°)
1.01554693554969e+001	(-1.82227887702218e+001dB,8.18597293980901e+001°)
1.01578080079690e+001	(-1.82207868702508e+001dB,8.18578795840110e+001°)
1.01601471989976e+001	(-1.82187849695835e+001dB,8.18560293260130e+001°)
1.01624869287069e+001	(-1.82167830682199e+001dB,8.18541786239898e+001°)
1.01648271972209e+001	(-1.82147811661598e+001dB,8.18523274778348e+001°)
1.01671680046637e+001	(-1.82127792634029e+001dB,8.18504758874417e+001°)
1.01695093511594e+001	(-1.82107773599490e+001dB,8.18486238527034e+001°)
1.01718512368321e+001	(-1.82087754557983e+001dB,8.18467713735138e+001°)
1.01741936618060e+001	(-1.82067735509504e+001dB,8.18449184497662e+001°)
1.01765366262053e+001	(-1.82047716454052e+001dB,8.18430650813540e+001°)
1.01788801301542e+001	(-1.82027697391624e+001dB,8.18412112681703e+001°)
1.01812241737769e+001	(-1.82007678322222e+001dB,8.18393570101086e+001°)
1.01835687571978e+001	(-1.81987659245841e+001dB,8.18375023070621e+001°)
1.01859138805411e+001	(-1.81967640162483e+001dB,8.18356471589240e+001°)
1.01882595439312e+001	(-1.81947621072143e+001dB,8.18337915655876e+001°)
1.01906057474925e+001	(-1.81927601974821e+001dB,8.18319355269460e+001°)
1.01929524913492e+001	(-1.81907582870515e+001dB,8.18300790428925e+001°)
1.01952997756260e+001	(-1.81887563759227e+001dB,8.18282221133200e+001°)
1.01976476004471e+001	(-1.81867544640950e+001dB,8.18263647381218e+001°)
1.01999959659371e+001	(-1.81847525515685e+001dB,8.18245069171908e+001°)
1.02023448722206e+001	(-1.81827506383432e+001dB,8.18226486504201e+001°)
1.02046943194219e+001	(-1.81807487244188e+001dB,8.18207899377028e+001°)
1.02070443076658e+001	(-1.81787468097952e+001dB,8.18189307789317e+001°)
1.02093948370767e+001	(-1.81767448944721e+001dB,8.18170711739998e+001°)
1.02117459077794e+001	(-1.81747429784496e+001dB,8.18152111228001e+001°)
1.02140975198984e+001	(-1.81727410617274e+001dB,8.18133506252255e+001°)
1.02164496735585e+001	(-1.81707391443055e+001dB,8.18114896811687e+001°)
1.02188023688843e+001	(-1.81687372261834e+001dB,8.18096282905225e+001°)
1.02211556060007e+001	(-1.81667353073614e+001dB,8.18077664531800e+001°)
1.02235093850322e+001	(-1.81647333878390e+001dB,8.18059041690336e+001°)
1.02258637061039e+001	(-1.81627314676163e+001dB,8.18040414379765e+001°)
1.02282185693404e+001	(-1.81607295466930e+001dB,8.18021782599010e+001°)
1.02305739748666e+001	(-1.81587276250690e+001dB,8.18003146346998e+001°)
1.02329299228075e+001	(-1.81567257027441e+001dB,8.17984505622658e+001°)
1.02352864132878e+001	(-1.81547237797185e+001dB,8.17965860424914e+001°)
1.02376434464327e+001	(-1.81527218559914e+001dB,8.17947210752694e+001°)
1.02400010223669e+001	(-1.81507199315632e+001dB,8.17928556604922e+001°)
1.02423591412156e+001	(-1.81487180064335e+001dB,8.17909897980523e+001°)
1.02447178031037e+001	(-1.81467160806024e+001dB,8.17891234878425e+001°)
1.02470770081564e+001	(-1.81447141540693e+001dB,8.17872567297547e+001°)
1.02494367564986e+001	(-1.81427122268345e+001dB,8.17853895236819e+001°)
1.02517970482555e+001	(-1.81407102988978e+001dB,8.17835218695164e+001°)
1.02541578835522e+001	(-1.81387083702588e+001dB,8.17816537671504e+001°)
1.02565192625140e+001	(-1.81367064409176e+001dB,8.17797852164765e+001°)
1.02588811852660e+001	(-1.81347045108738e+001dB,8.17779162173866e+001°)
1.02612436519333e+001	(-1.81327025801275e+001dB,8.17760467697735e+001°)
1.02636066626414e+001	(-1.81307006486785e+001dB,8.17741768735292e+001°)
1.02659702175155e+001	(-1.81286987165265e+001dB,8.17723065285458e+001°)
1.02683343166808e+001	(-1.81266967836716e+001dB,8.17704357347160e+001°)
1.02706989602627e+001	(-1.81246948501135e+001dB,8.17685644919315e+001°)
1.02730641483867e+001	(-1.81226929158521e+001dB,8.17666928000846e+001°)
1.02754298811780e+001	(-1.81206909808872e+001dB,8.17648206590676e+001°)
1.02777961587622e+001	(-1.81186890452186e+001dB,8.17629480687722e+001°)
1.02801629812646e+001	(-1.81166871088464e+001dB,8.17610750290908e+001°)
1.02825303488109e+001	(-1.81146851717701e+001dB,8.17592015399152e+001°)
1.02848982615264e+001	(-1.81126832339900e+001dB,8.17573276011377e+001°)
1.02872667195367e+001	(-1.81106812955056e+001dB,8.17554532126499e+001°)
1.02896357229675e+001	(-1.81086793563169e+001dB,8.17535783743440e+001°)
1.02920052719442e+001	(-1.81066774164237e+001dB,8.17517030861119e+001°)
1.02943753665926e+001	(-1.81046754758260e+001dB,8.17498273478454e+001°)
1.02967460070382e+001	(-1.81026735345234e+001dB,8.17479511594363e+001°)
1.02991171934069e+001	(-1.81006715925160e+001dB,8.17460745207765e+001°)
1.03014889258243e+001	(-1.80986696498034e+001dB,8.17441974317578e+001°)
1.03038612044161e+001	(-1.80966677063858e+001dB,8.17423198922720e+001°)
1.03062340293081e+001	(-1.80946657622628e+001dB,8.17404419022106e+001°)
1.03086074006262e+001	(-1.80926638174342e+001dB,8.17385634614656e+001°)
1.03109813184961e+001	(-1.80906618719001e+001dB,8.17366845699286e+001°)
1.03133557830437e+001	(-1.80886599256603e+001dB,8.17348052274911e+001°)
1.03157307943950e+001	(-1.80866579787145e+001dB,8.17329254340447e+001°)
1.03181063526758e+001	(-1.80846560310626e+001dB,8.17310451894813e+001°)
1.03204824580121e+001	(-1.80826540827045e+001dB,8.17291644936920e+001°)
1.03228591105299e+001	(-1.80806521336402e+001dB,8.17272833465688e+001°)
1.03252363103551e+001	(-1.80786501838693e+001dB,8.17254017480028e+001°)
1.03276140576139e+001	(-1.80766482333919e+001dB,8.17235196978858e+001°)
1.03299923524322e+001	(-1.80746462822077e+001dB,8.17216371961090e+001°)
1.03323711949362e+001	(-1.80726443303165e+001dB,8.17197542425636e+001°)
1.03347505852520e+001	(-1.80706423777184e+001dB,8.17178708371414e+001°)
1.03371305235057e+001	(-1.80686404244129e+001dB,8.17159869797336e+001°)
1.03395110098236e+001	(-1.80666384704003e+001dB,8.17141026702315e+001°)
1.03418920443318e+001	(-1.80646365156802e+001dB,8.17122179085263e+001°)
1.03442736271566e+001	(-1.80626345602524e+001dB,8.17103326945093e+001°)
1.03466557584243e+001	(-1.80606326041168e+001dB,8.17084470280718e+001°)
1.03490384382611e+001	(-1.80586306472734e+001dB,8.17065609091051e+001°)
1.03514216667933e+001	(-1.80566286897219e+001dB,8.17046743374999e+001°)
1.03538054441474e+001	(-1.80546267314622e+001dB,8.17027873131479e+001°)
1.03561897704498e+001	(-1.80526247724941e+001dB,8.17008998359397e+001°)
1.03585746458267e+001	(-1.80506228128177e+001dB,8.16990119057668e+001°)
1.03609600704047e+001	(-1.80486208524327e+001dB,8.16971235225200e+001°)
1.03633460443103e+001	(-1.80466188913389e+001dB,8.16952346860903e+001°)
1.03657325676699e+001	(-1.80446169295361e+001dB,8.16933453963687e+001°)
1.03681196406101e+001	(-1.80426149670244e+001dB,8.16914556532464e+001°)
1.03705072632575e+001	(-1.80406130038035e+001dB,8.16895654566141e+001°)
1.03728954357386e+001	(-1.80386110398733e+001dB,8.16876748063627e+001°)
1.03752841581800e+001	(-1.80366090752336e+001dB,8.16857837023831e+001°)
1.03776734307084e+001	(-1.80346071098843e+001dB,8.16838921445660e+001°)
1.03800632534505e+001	(-1.80326051438255e+001dB,8.16820001328026e+001°)
1.03824536265330e+001	(-1.80306031770565e+001dB,8.16801076669832e+001°)
1.03848445500826e+001	(-1.80286012095777e+001dB,8.16782147469988e+001°)
1.03872360242261e+001	(-1.80265992413887e+001dB,8.16763213727401e+001°)
1.03896280490902e+001	(-1.80245972724894e+001dB,8.16744275440976e+001°)
1.03920206248019e+001	(-1.80225953028796e+001dB,8.16725332609621e+001°)
1.03944137514879e+001	(-1.80205933325593e+001dB,8.16706385232243e+001°)
1.03968074292751e+001	(-1.80185913615283e+001dB,8.16687433307747e+001°)
1.03992016582905e+001	(-1.80165893897864e+001dB,8.16668476835038e+001°)
1.04015964386609e+001	(-1.80145874173335e+001dB,8.16649515813022e+001°)
1.04039917705134e+001	(-1.80125854441695e+001dB,8.16630550240606e+001°)
1.04063876539749e+001	(-1.80105834702943e+001dB,8.16611580116690e+001°)
1.04087840891725e+001	(-1.80085814957075e+001dB,8.16592605440183e+001°)
1.04111810762333e+001	(-1.80065795204094e+001dB,8.16573626209987e+001°)
1.04135786152842e+001	(-1.80045775443995e+001dB,8.16554642425006e+001°)
1.04159767064525e+001	(-1.80025755676778e+001dB,8.16535654084143e+001°)
1.04183753498653e+001	(-1.80005735902442e+001dB,8.16516661186303e+001°)
1.04207745456497e+001	(-1.79985716120983e+001dB,8.16497663730385e+001°)
1.04231742939329e+001	(-1.79965696332402e+001dB,8.16478661715296e+001°)
1.04255745948422e+001	(-1.79945676536698e+001dB,8.16459655139936e+001°)
1.04279754485049e+001	(-1.79925656733869e+001dB,8.16440644003209e+001°)
1.04303768550482e+001	(-1.79905636923915e+001dB,8.16421628304015e+001°)
1.04327788145995e+001	(-1.79885617106830e+001dB,8.16402608041254e+001°)
1.04351813272861e+001	(-1.79865597282617e+001dB,8.16383583213831e+001°)
1.04375843932354e+001	(-1.79845577451274e+001dB,8.16364553820643e+001°)
1.04399880125747e+001	(-1.79825557612798e+001dB,8.16345519860591e+001°)
1.04423921854316e+001	(-1.79805537767189e+001dB,8.16326481332578e+001°)
1.04447969119335e+001	(-1.79785517914445e+001dB,8.16307438235501e+001°)
1.04472021922079e+001	(-1.79765498054565e+001dB,8.16288390568261e+001°)
1.04496080263823e+001	(-1.79745478187548e+001dB,8.16269338329757e+001°)
1.04520144145842e+001	(-1.79725458313391e+001dB,8.16250281518887e+001°)
1.04544213569413e+001	(-1.79705438432094e+001dB,8.16231220134551e+001°)
1.04568288535812e+001	(-1.79685418543655e+001dB,8.16212154175646e+001°)
1.04592369046315e+001	(-1.79665398648074e+001dB,8.16193083641072e+001°)
1.04616455102199e+001	(-1.79645378745349e+001dB,8.16174008529725e+001°)
1.04640546704741e+001	(-1.79625358835477e+001dB,8.16154928840502e+001°)
1.04664643855218e+001	(-1.79605338918458e+001dB,8.16135844572302e+001°)
1.04688746554908e+001	(-1.79585318994292e+001dB,8.16116755724022e+001°)
1.04712854805088e+001	(-1.79565299062974e+001dB,8.16097662294556e+001°)
1.04736968607038e+001	(-1.79545279124506e+001dB,8.16078564282802e+001°)
1.04761087962035e+001	(-1.79525259178884e+001dB,8.16059461687655e+001°)
1.04785212871358e+001	(-1.79505239226110e+001dB,8.16040354508012e+001°)
1.04809343336286e+001	(-1.79485219266180e+001dB,8.16021242742768e+001°)
1.04833479358099e+001	(-1.79465199299093e+001dB,8.16002126390816e+001°)
1.04857620938076e+001	(-1.79445179324849e+001dB,8.15983005451053e+001°)
1.04881768077497e+001	(-1.79425159343445e+001dB,8.15963879922373e+001°)
1.04905920777643e+001	(-1.79405139354880e+001dB,8.15944749803668e+001°)
1.04930079039794e+001	(-1.79385119359153e+001dB,8.15925615093835e+001°)
1.04954242865231e+001	(-1.79365099356263e+001dB,8.15906475791765e+001°)
1.04978412255235e+001	(-1.79345079346208e+001dB,8.15887331896353e+001°)
1.05002587211087e+001	(-1.79325059328987e+001dB,8.15868183406490e+001°)
1.05026767734069e+001	(-1.79305039304598e+001dB,8.15849030321069e+001°)
1.05050953825464e+001	(-1.79285019273041e+001dB,8.15829872638983e+001°)
1.05075145486554e+001	(-1.79264999234315e+001dB,8.15810710359125e+001°)
1.05099342718620e+001	(-1.79244979188416e+001dB,8.15791543480385e+001°)
1.05123545522947e+001	(-1.79224959135343e+001dB,8.15772372001652e+001°)
1.05147753900817e+001	(-1.79204939075098e+001dB,8.15753195921822e+001°)
1.05171967853513e+001	(-1.79184919007676e+001dB,8.15734015239782e+001°)
1.05196187382321e+001	(-1.79164898933078e+001dB,8.15714829954423e+001°)
1.05220412488523e+001	(-1.79144878851301e+001dB,8.15695640064637e+001°)
1.05244643173404e+001	(-1.79124858762344e+001dB,8.15676445569313e+001°)
1.05268879438249e+001	(-1.79104838666210e+001dB,8.15657246467341e+001°)
1.05293121284342e+001	(-1.79084818562890e+001dB,8.15638042757606e+001°)
1.05317368712970e+001	(-1.79064798452387e+001dB,8.15618834439002e+001°)
1.05341621725417e+001	(-1.79044778334701e+001dB,8.15599621510415e+001°)
1.05365880322970e+001	(-1.79024758209827e+001dB,8.15580403970734e+001°)
1.05390144506914e+001	(-1.79004738077766e+001dB,8.15561181818848e+001°)
1.05414414278537e+001	(-1.78984717938516e+001dB,8.15541955053642e+001°)
1.05438689639124e+001	(-1.78964697792076e+001dB,8.15522723674006e+001°)
1.05462970589963e+001	(-1.78944677638445e+001dB,8.15503487678825e+001°)
1.05487257132342e+001	(-1.78924657477620e+001dB,8.15484247066987e+001°)
1.05511549267547e+001	(-1.78904637309601e+001dB,8.15465001837376e+001°)
1.05535846996868e+001	(-1.78884617134387e+001dB,8.15445751988882e+001°)
1.05560150321591e+001	(-1.78864596951977e+001dB,8.15426497520388e+001°)
1.05584459243006e+001	(-1.78844576762369e+001dB,8.15407238430782e+001°)
1.05608773762402e+001	(-1.78824556565560e+001dB,8.15387974718945e+001°)
1.05633093881067e+001	(-1.78804536361551e+001dB,8.15368706383766e+001°)
1.05657419600291e+001	(-1.78784516150340e+001dB,8.15349433424127e+001°)
1.05681750921364e+001	(-1.78764495931925e+001dB,8.15330155838913e+001°)
1.05706087845576e+001	(-1.78744475706307e+001dB,8.15310873627010e+001°)
1.05730430374217e+001	(-1.78724455473482e+001dB,8.15291586787298e+001°)
1.05754778508577e+001	(-1.78704435233449e+001dB,8.15272295318662e+001°)
1.05779132249948e+001	(-1.78684414986209e+001dB,8.15252999219985e+001°)
1.05803491599621e+001	(-1.78664394731757e+001dB,8.15233698490150e+001°)
1.05827856558888e+001	(-1.78644374470095e+001dB,8.15214393128039e+001°)
1.05852227129039e+001	(-1.78624354201219e+001dB,8.15195083132534e+001°)
1.05876603311368e+001	(-1.78604333925131e+001dB,8.15175768502518e+001°)
1.05900985107166e+001	(-1.78584313641827e+001dB,8.15156449236870e+001°)
1.05925372517727e+001	(-1.78564293351307e+001dB,8.15137125334473e+001°)
1.05949765544343e+001	(-1.78544273053568e+001dB,8.15117796794207e+001°)
1.05974164188308e+001	(-1.78524252748612e+001dB,8.15098463614953e+001°)
1.05998568450915e+001	(-1.78504232436435e+001dB,8.15079125795592e+001°)
1.06022978333458e+001	(-1.78484212117036e+001dB,8.15059783335003e+001°)
1.06047393837231e+001	(-1.78464191790415e+001dB,8.15040436232065e+001°)
1.06071814963530e+001	(-1.78444171456566e+001dB,8.15021084485657e+001°)
1.06096241713647e+001	(-1.78424151115496e+001dB,8.15001728094661e+001°)
1.06120674088880e+001	(-1.78404130767197e+001dB,8.14982367057952e+001°)
1.06145112090522e+001	(-1.78384110411670e+001dB,8.14963001374410e+001°)
1.06169555719870e+001	(-1.78364090048914e+001dB,8.14943631042913e+001°)
1.06194004978220e+001	(-1.78344069678926e+001dB,8.14924256062340e+001°)
1.06218459866868e+001	(-1.78324049301708e+001dB,8.14904876431566e+001°)
1.06242920387111e+001	(-1.78304028917256e+001dB,8.14885492149470e+001°)
1.06267386540244e+001	(-1.78284008525569e+001dB,8.14866103214928e+001°)
1.06291858327567e+001	(-1.78263988126646e+001dB,8.14846709626816e+001°)
1.06316335750375e+001	(-1.78243967720486e+001dB,8.14827311384010e+001°)
1.06340818809968e+001	(-1.78223947307088e+001dB,8.14807908485388e+001°)
1.06365307507642e+001	(-1.78203926886450e+001dB,8.14788500929823e+001°)
1.06389801844696e+001	(-1.78183906458571e+001dB,8.14769088716193e+001°)
1.06414301822429e+001	(-1.78163886023449e+001dB,8.14749671843370e+001°)
1.06438807442141e+001	(-1.78143865581085e+001dB,8.14730250310231e+001°)
1.06463318705129e+001	(-1.78123845131475e+001dB,8.14710824115648e+001°)
1.06487835612694e+001	(-1.78103824674620e+001dB,8.14691393258497e+001°)
1.06512358166136e+001	(-1.78083804210518e+001dB,8.14671957737651e+001°)
1.06536886366754e+001	(-1.78063783739165e+001dB,8.14652517551982e+001°)
1.06561420215850e+001	(-1.78043763260565e+001dB,8.14633072700365e+001°)
1.06585959714723e+001	(-1.78023742774713e+001dB,8.14613623181673e+001°)
1.06610504864676e+001	(-1.78003722281607e+001dB,8.14594168994777e+001°)
1.06635055667009e+001	(-1.77983701781249e+001dB,8.14574710138549e+001°)
1.06659612123024e+001	(-1.77963681273635e+001dB,8.14555246611863e+001°)
1.06684174234022e+001	(-1.77943660758765e+001dB,8.14535778413587e+001°)
1.06708742001308e+001	(-1.77923640236638e+001dB,8.14516305542596e+001°)
1.06733315426182e+001	(-1.77903619707251e+001dB,8.14496827997757e+001°)
1.06757894509947e+001	(-1.77883599170605e+001dB,8.14477345777944e+001°)
1.06782479253908e+001	(-1.77863578626698e+001dB,8.14457858882025e+001°)
1.06807069659366e+001	(-1.77843558075528e+001dB,8.14438367308872e+001°)
1.06831665727627e+001	(-1.77823537517093e+001dB,8.14418871057351e+001°)
1.06856267459994e+001	(-1.77803516951394e+001dB,8.14399370126336e+001°)
1.06880874857771e+001	(-1.77783496378430e+001dB,8.14379864514692e+001°)
1.06905487922263e+001	(-1.77763475798198e+001dB,8.14360354221290e+001°)
1.06930106654776e+001	(-1.77743455210696e+001dB,8.14340839244997e+001°)
1.06954731056614e+001	(-1.77723434615925e+001dB,8.14321319584683e+001°)
1.06979361129082e+001	(-1.77703414013882e+001dB,8.14301795239213e+001°)
1.07003996873488e+001	(-1.77683393404566e+001dB,8.14282266207456e+001°)
1.07028638291136e+001	(-1.77663372787978e+001dB,8.14262732488280e+001°)
1.07053285383334e+001	(-1.77643352164114e+001dB,8.14243194080550e+001°)
1.07077938151388e+001	(-1.77623331532974e+001dB,8.14223650983133e+001°)
1.07102596596605e+001	(-1.77603310894556e+001dB,8.14204103194896e+001°)
1.07127260720292e+001	(-1.77583290248860e+001dB,8.14184550714704e+001°)
1.07151930523758e+001	(-1.77563269595883e+001dB,8.14164993541421e+001°)
1.07176606008310e+001	(-1.77543248935625e+001dB,8.14145431673917e+001°)
1.07201287175257e+001	(-1.77523228268085e+001dB,8.14125865111051e+001°)
1.07225974025906e+001	(-1.77503207593262e+001dB,8.14106293851691e+001°)
1.07250666561568e+001	(-1.77483186911153e+001dB,8.14086717894702e+001°)
1.07275364783550e+001	(-1.77463166221758e+001dB,8.14067137238946e+001°)
1.07300068693164e+001	(-1.77443145525075e+001dB,8.14047551883286e+001°)
1.07324778291717e+001	(-1.77423124821104e+001dB,8.14027961826587e+001°)
1.07349493580521e+001	(-1.77403104109844e+001dB,8.14008367067712e+001°)
1.07374214560886e+001	(-1.77383083391291e+001dB,8.13988767605523e+001°)
1.07398941234122e+001	(-1.77363062665448e+001dB,8.13969163438883e+001°)
1.07423673601541e+001	(-1.77343041932310e+001dB,8.13949554566653e+001°)
1.07448411664453e+001	(-1.77323021191878e+001dB,8.13929940987696e+001°)
1.07473155424171e+001	(-1.77303000444150e+001dB,8.13910322700873e+001°)
1.07497904882006e+001	(-1.77282979689124e+001dB,8.13890699705045e+001°)
1.07522660039270e+001	(-1.77262958926800e+001dB,8.13871071999071e+001°)
1.07547420897276e+001	(-1.77242938157178e+001dB,8.13851439581815e+001°)
1.07572187457337e+001	(-1.77222917380252e+001dB,8.13831802452134e+001°)
1.07596959720766e+001	(-1.77202896596026e+001dB,8.13812160608890e+001°)
1.07621737688876e+001	(-1.77182875804496e+001dB,8.13792514050941e+001°)
1.07646521362981e+001	(-1.77162855005663e+001dB,8.13772862777148e+001°)
1.07671310744395e+001	(-1.77142834199523e+001dB,8.13753206786368e+001°)
1.07696105834432e+001	(-1.77122813386077e+001dB,8.13733546077460e+001°)
1.07720906634407e+001	(-1.77102792565322e+001dB,8.13713880649284e+001°)
1.07745713145634e+001	(-1.77082771737258e+001dB,8.13694210500695e+001°)
1.07770525369430e+001	(-1.77062750901884e+001dB,8.13674535630552e+001°)
1.07795343307109e+001	(-1.77042730059198e+001dB,8.13654856037713e+001°)
1.07820166959987e+001	(-1.77022709209199e+001dB,8.13635171721036e+001°)
1.07844996329381e+001	(-1.77002688351887e+001dB,8.13615482679374e+001°)
1.07869831416606e+001	(-1.76982667487258e+001dB,8.13595788911585e+001°)
1.07894672222980e+001	(-1.76962646615312e+001dB,8.13576090416526e+001°)
1.07919518749820e+001	(-1.76942625736050e+001dB,8.13556387193054e+001°)
1.07944370998443e+001	(-1.76922604849469e+001dB,8.13536679240021e+001°)
1.07969228970166e+001	(-1.76902583955568e+001dB,8.13516966556283e+001°)
1.07994092666308e+001	(-1.76882563054345e+001dB,8.13497249140696e+001°)
1.08018962088186e+001	(-1.76862542145800e+001dB,8.13477526992114e+001°)
1.08043837237120e+001	(-1.76842521229930e+001dB,8.13457800109391e+001°)
1.08068718114428e+001	(-1.76822500306737e+001dB,8.13438068491379e+001°)
1.08093604721430e+001	(-1.76802479376217e+001dB,8.13418332136935e+001°)
1.08118497059444e+001	(-1.76782458438371e+001dB,8.13398591044910e+001°)
1.08143395129791e+001	(-1.76762437493196e+001dB,8.13378845214156e+001°)
1.08168298933791e+001	(-1.76742416540690e+001dB,8.13359094643528e+001°)
1.08193208472763e+001	(-1.76722395580856e+001dB,8.13339339331878e+001°)
1.08218123748029e+001	(-1.76702374613688e+001dB,8.13319579278054e+001°)
1.08243044760910e+001	(-1.76682353639188e+001dB,8.13299814480912e+001°)
1.08267971512727e+001	(-1.76662332657353e+001dB,8.13280044939301e+001°)
1.08292904004802e+001	(-1.76642311668183e+001dB,8.13260270652072e+001°)
1.08317842238456e+001	(-1.76622290671676e+001dB,8.13240491618078e+001°)
1.08342786215011e+001	(-1.76602269667832e+001dB,8.13220707836166e+001°)
1.08367735935791e+001	(-1.76582248656649e+001dB,8.13200919305187e+001°)
1.08392691402118e+001	(-1.76562227638125e+001dB,8.13181126023992e+001°)
1.08417652615314e+001	(-1.76542206612261e+001dB,8.13161327991429e+001°)
1.08442619576705e+001	(-1.76522185579054e+001dB,8.13141525206347e+001°)
1.08467592287612e+001	(-1.76502164538501e+001dB,8.13121717667593e+001°)
1.08492570749361e+001	(-1.76482143490606e+001dB,8.13101905374021e+001°)
1.08517554963275e+001	(-1.76462122435366e+001dB,8.13082088324474e+001°)
1.08542544930680e+001	(-1.76442101372777e+001dB,8.13062266517799e+001°)
1.08567540652899e+001	(-1.76422080302841e+001dB,8.13042439952849e+001°)
